index,open,close,high,low,Return
2018-05-17,8300.09,7990.02,8464.0,7979.0,-3.735858604113207
2018-05-18,7995.57,8220.0,8273.21,7911.9,2.8783407300607466
2018-05-19,8216.5,8223.99,8390.8,8095.73,0.048540145985409566
2018-05-20,8218.82,8517.25,8609.0,8163.9,3.5659090052395426
2018-05-21,8513.13,8410.0,8595.31,8305.0,-1.2592092518124987
2018-05-22,8409.01,7988.87,8414.0,7935.11,-5.00749108204519
2018-05-23,7988.87,7459.99,8031.9,7425.0,-6.620210367674028
2018-05-24,7459.99,7596.0,7730.73,7266.99,1.823192792483641
2018-05-25,7604.48,7387.15,7649.55,7308.15,-2.7494734070563465
2018-05-26,7389.99,7340.21,7620.0,7300.0,-0.6354277360010263
2018-05-27,7340.21,7331.51,7400.0,7231.11,-0.11852521930570958
2018-05-28,7337.95,7094.78,7437.0,7058.02,-3.2289391953363
2018-05-29,7094.77,7460.51,7540.0,7032.95,5.154916713414659
2018-05-30,7462.61,7390.0,7569.0,7260.5,-0.94510965068072
2018-05-31,7386.21,7479.96,7699.0,7327.51,1.2173207036535905
2018-06-01,7479.97,7532.0,7608.55,7355.54,0.6957256455916827
2018-06-02,7528.9,7643.02,7697.33,7437.0,1.4739776951672834
2018-06-03,7648.74,7713.01,7786.69,7600.0,0.9157374964346543
2018-06-04,7713.0,7483.91,7760.52,7446.5,-2.9703060154206984
2018-06-05,7481.98,7611.0,7679.49,7358.0,1.6981764879588468
2018-06-06,7611.0,7658.01,7699.0,7467.05,0.6176586519511362
2018-06-07,7658.01,7658.03,7765.0,7620.0,0.0002611644539518565
2018-06-08,7657.98,7626.45,7703.5,7531.0,-0.4123775958046694
2018-06-09,7626.45,7613.68,7683.98,7563.3,-0.1674435681083497
2018-06-10,7611.11,6715.41,7614.43,6622.81,-11.798105515335555
2018-06-11,6715.4,6804.93,6826.0,6610.0,1.3330533802105915
2018-06-12,6804.93,6483.48,6922.0,6435.0,-4.723781141025707
2018-06-13,6488.51,6307.07,6627.6,6118.68,-2.7209153109132744
2018-06-14,6307.07,6590.11,6720.0,6260.0,4.487662258386216
2018-06-15,6586.02,6377.4,6667.0,6362.31,-3.227715470606718
2018-06-16,6377.41,6505.96,6560.0,6320.86,2.0158685357669404
2018-06-17,6502.0,6426.99,6589.03,6422.0,-1.2138101064254947
2018-06-18,6426.99,6692.84,6794.38,6380.0,4.1364620140999175
2018-06-19,6694.92,6730.4,6841.74,6653.0,0.5611967415924957
2018-06-20,6737.54,6750.03,6817.23,6551.81,0.2916617140140243
2018-06-21,6750.02,6719.53,6795.0,6672.57,-0.4518498436303253
2018-06-22,6719.49,6060.01,6733.97,5918.94,-9.814972178113646
2018-06-23,6059.95,6152.78,6260.0,6008.48,1.530855559644273
2018-06-24,6152.78,6120.01,6259.8,5750.0,-0.5326047737770456
2018-06-25,6120.01,6245.0,6350.0,6061.97,2.0423169243187544
2018-06-26,6245.01,6137.69,6272.54,6089.99,-1.7183346677341893
2018-06-27,6137.16,6120.26,6190.43,5971.0,-0.2839830620314676
2018-06-28,6120.26,5878.06,6173.01,5846.0,-3.9573482172326035
2018-06-29,5883.38,6230.0,6300.0,5780.0,5.987349567714517
2018-06-30,6230.0,6371.99,6528.99,6174.0,2.279133226324226
2018-07-01,6371.99,6374.26,6441.06,6251.0,0.035624663566657944
2018-07-02,6378.89,6616.99,6685.0,6271.62,3.807971435115598
2018-07-03,6616.99,6494.27,6679.35,6463.01,-1.854619698684734
2018-07-04,6497.69,6582.03,6784.92,6441.11,1.3513451088420947
2018-07-05,6580.24,6537.98,6712.0,6453.33,-0.6692464178984281
2018-07-06,6538.56,6601.48,6648.54,6425.0,0.9712480001468293
2018-07-07,6602.0,6775.68,6818.16,6508.88,2.638802207989732
2018-07-08,6775.68,6693.96,6794.98,6667.44,-1.206078209124406
2018-07-09,6691.0,6634.93,6802.06,6628.0,-0.8818397480713891
2018-07-10,6633.21,6300.01,6681.0,6263.0,-5.047830195646375
2018-07-11,6303.62,6369.46,6406.0,6278.99,1.1023792025727008
2018-07-12,6369.46,6110.57,6381.08,6090.0,-4.064551783039693
2018-07-13,6110.57,6205.66,6350.0,6070.0,1.5561559723560991
2018-07-14,6205.66,6259.72,6335.0,6178.0,0.8711402171565963
2018-07-15,6260.6,6355.44,6395.0,6225.4,1.5291418785504662
2018-07-16,6355.43,6697.6,6717.16,6330.4,5.383734249713634
2018-07-17,6699.29,7320.22,7468.99,6652.04,9.296165790731003
2018-07-18,7323.09,7362.73,7588.08,7225.38,0.5807202515771381
2018-07-19,7362.73,7466.0,7576.28,7270.0,1.4026047403612685
2018-07-20,7464.56,7329.32,7700.0,7273.0,-1.830699169568717
2018-07-21,7333.25,7416.01,7458.47,7211.0,1.1827836688806048
2018-07-22,7416.03,7403.0,7582.4,7335.5,-0.1754312629028254
2018-07-23,7404.99,7725.69,7833.0,7375.0,4.3589085505876035
2018-07-24,7727.99,8360.69,8371.93,7696.0,8.21933057112052
2018-07-25,8363.69,8239.01,8491.77,8050.0,-1.4553822710804964
2018-07-26,8239.01,7899.86,8315.69,7850.06,-4.116392624842069
2018-07-27,7900.0,8212.51,8285.0,7805.0,3.957665072545602
2018-07-28,8212.48,8181.3,8235.33,8067.0,-0.38002997865451693
2018-07-29,8181.3,8234.3,8294.51,8115.0,0.6478188063021584
2018-07-30,8234.34,8170.06,8278.78,7866.0,-0.7801513182662645
2018-07-31,8167.73,7644.01,8200.0,7633.0,-6.438753203770842
2018-08-01,7644.3,7610.95,7777.0,7430.0,-0.4324955095558525
2018-08-02,7606.05,7540.33,7709.46,7455.72,-0.9278736557197131
2018-08-03,7540.32,7412.48,7550.0,7282.44,-1.6955491337912298
2018-08-04,7412.47,6995.75,7494.81,6926.0,-5.622005050941114
2018-08-05,6992.93,7032.84,7089.87,6882.29,0.5301790372726378
2018-08-06,7032.84,6929.96,7160.0,6821.0,-1.4628514227538303
2018-08-07,6929.97,6719.53,7150.46,6670.0,-3.036525463350437
2018-08-08,6719.52,6267.05,6744.04,6123.0,-6.733804298812562
2018-08-09,6269.87,6536.53,6622.81,6178.6,4.299949737117137
2018-08-10,6536.77,6113.23,6575.88,6026.39,-6.475913060905403
2018-08-11,6113.24,6323.04,6488.0,5971.0,3.4320645550715456
2018-08-12,6323.04,6306.22,6472.3,6130.0,-0.26601128571066557
2018-08-13,6309.85,6281.56,6545.0,6145.04,-0.39104249455299556
2018-08-14,6281.49,6173.44,6291.0,5880.0,-1.7212284846439552
2018-08-15,6173.44,6257.74,6609.0,6153.05,1.3655271615177211
2018-08-16,6254.05,6273.21,6480.0,6205.6,0.24721385036770016
2018-08-17,6273.97,6545.44,6579.0,6268.51,4.339564592927703
